Title,Statement text,GOV WCAG Primer URL,Order
2.3.1 Three Flashes or Below Threshold (A),[INSERT ISSUE FOUND TEXT HERE] - this fails WCAG 2.1 success criterion 2.3.1 Three Flashes or Below Threshold (A). Content that flashes or flickers can trigger seizures in susceptible individuals.,https://alphagov.github.io/wcag-primer/all.html#2-3-1-three-flashes-or-below-a,26
2.4.1 Bypass Blocks (A),[INSERT ISSUE FOUND TEXT HERE] - this fails WCAG 2.1 success criterion 2.4.1 Bypass Blocks (A). Keyboard users may have to tab through many common links on every page to get to the main content.,https://alphagov.github.io/wcag-primer/all.html#2-4-1-bypass-blocks-a,27
2.4.2 Page Titled (A),[INSERT ISSUE FOUND TEXT HERE] - this fails WCAG 2.1 success criterion 2.4.2 Page Titled (A). It may be hard for screen reader users to know if they are on the correct page.,https://alphagov.github.io/wcag-primer/all.html#2-4-2-page-title-a,28
2.4.3 Focus Order (A),[INSERT ISSUE FOUND TEXT HERE] - this fails WCAG 2.1 success criterion 2.4.3 Focus Order (A). Page contents will be presented to keyboard users in an unhelpful order.,https://alphagov.github.io/wcag-primer/all.html#2-4-3-focus-order-a,29
2.4.4 Link Purpose (In Context) (A),"[INSERT ISSUE FOUND TEXT HERE] - this fails WCAG 2.1 success criterion 2.4.4 Link Purpose (In Context) (A). All users, but in particular screen reader users, won't be able to work out where a link will go.",https://alphagov.github.io/wcag-primer/all.html#2-4-4-link-purpose-in-context-a,30
2.4.5 Multiple Ways (AA),[INSERT ISSUE FOUND TEXT HERE] - this fails WCAG 2.1 success criterion 2.4.5 Multiple Ways (AA). There is only one way to navigate between pages in a website so some users may find it hard to use the site because another method would have suited them better.,https://alphagov.github.io/wcag-primer/all.html#2-4-5-multiple-ways-aa,31
2.4.6 Headings and Labels (AA),[INSERT ISSUE FOUND TEXT HERE] - this fails WCAG 2.1 success criterion 2.4.6 Headings and Labels (AA). Users will find it hard to use the headings and/or form labels to understand what information is contained on the web pages and how that it is organized.,https://alphagov.github.io/wcag-primer/all.html#2-4-6-headings-and-labels-aa,32
2.4.7 Focus Visible (AA),[INSERT ISSUE FOUND TEXT HERE] - this fails WCAG 2.1 success criterion 2.4.7 Focus Visible (AA). Keyboard users will not know where the cursor is on the page.,https://alphagov.github.io/wcag-primer/all.html#2-4-7-focus-visible-aa,33
2.5.1 Pointer Gestures (A),"[INSERT ISSUE FOUND TEXT HERE] - this fails WCAG 2.1 success criterion 2.5.1 Pointer Gestures (A). A user relying on a head-pointer would find clicking a control to be much more convenient than activating an on-screen keyboard to emulate a keyboard shortcut, and a person who has difficulty memorizing a series of keys (or gestures) may find it much easier to simply click on a labeled control.",https://alphagov.github.io/wcag-primer/all.html#2-5-1-pointer-gestures-a,34
2.5.2 Pointer Cancellation (A),"[INSERT ISSUE FOUND TEXT HERE] - this fails WCAG 2.1 success criterion 2.5.2 Pointer Cancellation (A). If a user with visual disabilities, cognitive limitations and motor impairments accidentally activates a control or an action will occur unexpectedly they may have no means of undoing or aborting the action is available.",https://alphagov.github.io/wcag-primer/all.html#2-5-2-pointer-cancellation-a,35
2.5.3 Label in Name (A),[INSERT ISSUE FOUND TEXT HERE] - this fails WCAG 2.1 success criterion 2.5.3 Label in Name (A). Speech-input users cannot activate controls. Screen reader users will not hear the label for an input or it will not match what they see.,https://alphagov.github.io/wcag-primer/all.html#2-5-3-label-in-name-a,36
2.5.4 Motion Actuation (A),"[INSERT ISSUE FOUND TEXT HERE] - this fails WCAG 2.1 success criterion 2.5.4 Motion Actuation (A). Users with a motor disability may have difficulty using an accelerometer in a precise ‘shaking’ manner, or be unable to make a clear hand gesture. Furthermore, if a device is mounted to a wheelchair or work surface, tilting the device will not be possible. It is therefore important that a provision is made for such cases.",https://alphagov.github.io/wcag-primer/all.html#2-5-4-motion-actuation-a,37
3.1.1 Language of Page (A),"[INSERT ISSUE FOUND TEXT HERE] - this fails WCAG 2.1 success criterion 3.1.1 Language of Page (A). Unless otherwise instructed, screen readers will assume that all the text on the page is written in the user’s choice of default language. This can sometimes create problems and with how a screen reader interprets pages.",https://alphagov.github.io/wcag-primer/all.html#3-1-1-language-of-page-a,38
3.1.2 Language of Parts (AA),"[INSERT ISSUE FOUND TEXT HERE] - this fails WCAG 2.1 success criterion 3.1.2 Language of Parts (AA). There needs to be a method included that will prevent motion actuation on web pages. This will not just help users with a disability, but all users who may inadvertently activate features or unintended actions, such as deleting text or changing the volume of a video.",https://alphagov.github.io/wcag-primer/all.html#3-1-2-language-of-parts-aa,39
3.2.1 On Focus (A),"[INSERT ISSUE FOUND TEXT HERE] - this fails WCAG 2.1 success criterion 3.2.1 On Focus (A). Focus may cause unexpected triggers for users, such as the submission of a form or the opening of new browser windows.",https://alphagov.github.io/wcag-primer/all.html#3-2-1-on-focus-a,40
3.2.2 On Input (A),[INSERT ISSUE FOUND TEXT HERE] - this fails WCAG 2.1 success criterion 3.2.2 On Input (A). Unexpected changes of context can be so disorienting for users with visual disabilities or cognitive limitations that they are unable to use the content.,https://alphagov.github.io/wcag-primer/all.html#3-2-2-on-input-a,41
3.2.3 Consistent Navigation (AA),"[INSERT ISSUE FOUND TEXT HERE] - this fails WCAG 2.1 success criterion 3.2.3 Consistent Navigation (AA). Users with cognitive limitations, low vision, intellectual disabilities, or who are blind will find it hard predict where they can find things on each page.",https://alphagov.github.io/wcag-primer/all.html#3-2-3-consistent-navigation-aa,42
3.2.4 Consistent Identification (AA),"[INSERT ISSUE FOUND TEXT HERE] - this fails WCAG 2.1 success criterion 3.2.4 Consistent Identification (AA). People who use screen readers rely on their familiarity with functions that may appear on different pages. If identical functions have different labels on different pages, the site will be more difficult to use.",https://alphagov.github.io/wcag-primer/all.html#3-2-4-consistent-identification-aa,43
3.3.1 Error Identification (A),[INSERT ISSUE FOUND TEXT HERE] - this fails WCAG 2.1 success criterion 3.3.1 Error Identification (A). Users may not know that an error has occurred or cannot work out what is wrong.,https://alphagov.github.io/wcag-primer/all.html#3-3-1-error-identification-a,44
3.3.2 Labels or Instructions (A),[INSERT ISSUE FOUND TEXT HERE] - this fails WCAG 2.1 success criterion 3.3.2 Labels or Instructions (A). Users will not know what input data is expected or may have to hunt round the page to find it.,https://alphagov.github.io/wcag-primer/all.html#3-3-2-labels-or-instructions-a,45
3.3.3 Error Suggestion (AA),[INSERT ISSUE FOUND TEXT HERE] - this fails WCAG 2.1 success criterion 3.3.3 Error Suggestion (AA). Persons with cognitive limitations may find it difficult to understand how to correct the errors. People with visual disabilities may not be able to figure out how to correct the error.,https://alphagov.github.io/wcag-primer/all.html#3-3-3-error-suggestion-aa,46
"3.3.4 Error Prevention (Legal, Financial, Data) (AA)","[INSERT ISSUE FOUND TEXT HERE] - this fails WCAG 2.1 success criterion 3.3.4 Error Prevention (Legal, Financial, Data) (AA). Users with disabilities cannot avoid serious consequences as the result of a mistake when performing an action that cannot be reversed.",https://alphagov.github.io/wcag-primer/all.html#3-3-4-error-prevention-legal-financial-data-aa,47
4.1.1 Parsing (A),"[INSERT ISSUE FOUND TEXT HERE] - this fails WCAG 2.1 success criterion 4.1.1 Parsing (A). Assistive technologies cannot interpret the content coding accurately, and in the worst case may crash.",https://alphagov.github.io/wcag-primer/all.html#4-1-1-parsing-a,48
"4.1.2 Name, Role, Value (A)","[INSERT ISSUE FOUND TEXT HERE] - this fails WCAG 2.1 success criterion 4.1.2 Name, Role, Value (A). Assistive technologies cannot read customised user interface elements such as form inputs or buttons.",https://alphagov.github.io/wcag-primer/all.html#4-1-2-name-role-value-a,49
4.1.3 Status Messages (AA),[INSERT ISSUE FOUND TEXT HERE] - this fails WCAG 2.1 success criterion 4.1.3 Status Messages (AA). People using screen readers will not be aware of important changes on the page.,https://alphagov.github.io/wcag-primer/all.html#4-1-3-status-messages-aa,50
